s	pop	continental_pop	sex_karyotype
HG00096	gbr	nfe	XY
HG00097	gbr	nfe	XX
HG00099	gbr	nfe	XX
HG00100	gbr	nfe	XX
HG00101	gbr	nfe	XY
HG00102	gbr	nfe	XX
HG00103	gbr	nfe	XY
HG00105	gbr	nfe	XY
HG00106	gbr	nfe	XX
HG00107	gbr	nfe	XY
HG00108	gbr	nfe	XY
HG00109	gbr	nfe	XY
HG00110	gbr	nfe	XX
HG00111	gbr	nfe	XX
HG00112	gbr	nfe	XY
HG00113	gbr	nfe	XY
HG00114	gbr	nfe	XY
HG00115	gbr	nfe	XY
HG00116	gbr	nfe	XY
HG00117	gbr	nfe	XY
HG00118	gbr	nfe	XX
HG00119	gbr	nfe	XY
HG00120	gbr	nfe	XX
HG00121	gbr	nfe	XX
HG00122	gbr	nfe	XX
HG00123	gbr	nfe	XX
HG00125	gbr	nfe	XX
HG00126	gbr	nfe	XY
HG00127	gbr	nfe	XX
HG00128	gbr	nfe	XX
HG00129	gbr	nfe	XY
HG00130	gbr	nfe	XX
HG00131	gbr	nfe	XY
HG00132	gbr	nfe	XX
HG00133	gbr	nfe	XX
HG00136	gbr	nfe	XY
HG00137	gbr	nfe	XX
HG00138	gbr	nfe	XY
HG00139	gbr	nfe	XY
HG00140	gbr	nfe	XY
HG00141	gbr	nfe	XY
HG00142	gbr	nfe	XY
HG00143	gbr	nfe	XY
HG00145	gbr	nfe	XY
HG00146	gbr	nfe	XX
HG00148	gbr	nfe	XY
HG00149	gbr	nfe	XY
HG00150	gbr	nfe	XX
HG00151	gbr	nfe	XY
HG00155	gbr	nfe	XY
HG00157	gbr	nfe	XY
HG00158	gbr	nfe	XX
HG00159	gbr	nfe	XY
HG00160	gbr	nfe	XY
HG00171	fin	fin	XX
HG00173	fin	fin	XX
HG00174	fin	fin	XX
HG00176	fin	fin	XX
HG00177	fin	fin	XX
HG00178	fin	fin	XX
HG00179	fin	fin	XX
HG00180	fin	fin	XX
HG00181	fin	oth	XY
HG00182	fin	fin	XY
HG00183	fin	fin	XY
HG00185	fin	fin	XY
HG00186	fin	fin	XY
HG00187	fin	fin	XY
HG00188	fin	fin	XY
HG00189	fin	fin	XY
HG00190	fin	fin	XY
HG00231	gbr	nfe	XX
HG00232	gbr	nfe	XX
HG00233	gbr	nfe	XX
HG00234	gbr	nfe	XY
HG00235	gbr	nfe	XX
HG00236	gbr	nfe	XX
HG00237	gbr	nfe	XX
HG00238	gbr	nfe	XX
HG00239	gbr	nfe	XX
HG00240	gbr	nfe	XX
HG00242	gbr	nfe	XY
HG00243	gbr	nfe	XY
HG00244	gbr	nfe	XY
HG00245	gbr	nfe	XX
HG00246	gbr	nfe	XY
HG00250	gbr	nfe	XX
HG00251	gbr	nfe	XY
HG00252	gbr	nfe	XY
HG00253	gbr	nfe	XX
HG00254	gbr	nfe	XX
HG00255	gbr	nfe	XX
HG00256	gbr	nfe	XY
HG00257	gbr	nfe	XX
HG00258	gbr	nfe	XX
HG00259	gbr	nfe	XX
HG00260	gbr	nfe	XY
HG00261	gbr	nfe	XX
HG00262	gbr	nfe	XX
HG00263	gbr	nfe	XX
HG00264	gbr	nfe	XY
HG00265	gbr	nfe	XY
HG00266	fin	fin	XX
HG00267	fin	fin	XY
HG00268	fin	fin	XX
HG00269	fin	fin	XX
HG00271	fin	fin	XY
HG00272	fin	fin	XX
HG00273	fin	fin	XY
HG00274	fin	fin	XX
HG00275	fin	fin	XX
HG00276	fin	fin	XX
HG00277	fin	nfe	XY
HG00278	fin	fin	XY
HG00280	fin	fin	XY
HG00281	fin	fin	XX
HG00282	fin	fin	XX
HG00284	fin	fin	XY
HG00285	fin	fin	XX
HG00288	fin	fin	XX
HG00290	fin	fin	XY
HG00304	fin	fin	XX
HG00306	fin	fin	XX
HG00308	fin	fin	XY
HG00309	fin	fin	XX
HG00310	fin	fin	XY
HG00311	fin	fin	XY
HG00313	fin	fin	XX
HG00315	fin	fin	XX
HG00318	fin	fin	XX
HG00319	fin	fin	XX
HG00320	fin	fin	XX
HG00321	fin	fin	XY
HG00323	fin	fin	XX
HG00324	fin	fin	XX
HG00325	fin	fin	XY
HG00326	fin	fin	XX
HG00327	fin	fin	XX
HG00328	fin	fin	XX
HG00329	fin	fin	XY
HG00330	fin	fin	XX
HG00331	fin	fin	XX
HG00332	fin	fin	XX
HG00334	fin	fin	XX
HG00335	fin	fin	XY
HG00336	fin	fin	XY
HG00337	fin	fin	XX
HG00338	fin	fin	XY
HG00339	fin	fin	XX
HG00341	fin	oth	XY
HG00342	fin	fin	XY
HG00343	fin	fin	XX
HG00344	fin	nfe	XX
HG00345	fin	fin	XY
HG00346	fin	fin	XX
HG00349	fin	fin	XX
HG00350	fin	nfe	XX
HG00351	fin	fin	XY
HG00353	fin	fin	XX
HG00355	fin	fin	XX
HG00356	fin	fin	XX
HG00357	fin	fin	XX
HG00358	fin	fin	XY
HG00360	fin	fin	XY
HG00362	fin	fin	XX
HG00364	fin	fin	XX
HG00365	fin	fin	XX
HG00366	fin	fin	XY
HG00367	fin	fin	XX
HG00368	fin	fin	XX
HG00369	fin	fin	XY
HG00371	fin	fin	XY
HG00372	fin	fin	XY
HG00373	fin	fin	XX
HG00375	fin	fin	XY
HG00376	fin	fin	XX
HG00378	fin	fin	XX
HG00379	fin	fin	XX
HG00380	fin	nfe	XX
HG00381	fin	fin	XX
HG00382	fin	fin	XY
HG00383	fin	fin	XX
HG00384	fin	fin	XX
HG00404	chs	eas	XX
HG00406	chs	eas	XY
HG00407	chs	eas	XX
HG00408	chs	eas	XX
HG00409	chs	eas	XY
HG00410	chs	eas	XX
HG00418	chs	eas	XY
HG00419	chs	eas	XX
HG00420	chs	eas	XY
HG00421	chs	eas	XY
HG00422	chs	eas	XX
HG00423	chs	eas	XX
HG00427	chs	eas	XY
HG00428	chs	eas	XX
HG00429	chs	eas	XY
HG00436	chs	eas	XY
HG00437	chs	eas	XX
HG00438	chs	eas	XX
HG00442	chs	eas	XY
HG00443	chs	eas	XX
HG00444	chs	eas	XY
HG00445	chs	eas	XY
HG00446	chs	eas	XX
HG00447	chs	eas	XX
HG00448	chs	eas	XY
HG00449	chs	eas	XX
HG00450	chs	eas	XX
HG00457	chs	eas	XY
HG00458	chs	eas	XX
HG00459	chs	eas	XY
HG00463	chs	eas	XY
HG00464	chs	eas	XX
HG00465	chs	eas	XY
HG00472	chs	eas	XY
HG00473	chs	eas	XX
HG00474	chs	eas	XY
HG00475	chs	eas	XY
HG00476	chs	eas	XX
HG00477	chs	eas	XY
HG00478	chs	eas	XY
HG00479	chs	eas	XX
HG00480	chs	eas	XY
HG00500	chs	eas	XY
HG00501	chs	eas	XX
HG00502	chs	eas	XY
HG00524	chs	eas	XY
HG00525	chs	eas	XX
HG00526	chs	eas	XY
HG00530	chs	eas	XY
HG00531	chs	eas	XX
HG00532	chs	eas	XY
HG00533	chs	eas	XY
HG00534	chs	eas	XX
HG00535	chs	eas	XY
HG00536	chs	eas	XY
HG00537	chs	eas	XX
HG00538	chs	eas	XY
HG00542	chs	eas	XY
HG00543	chs	eas	XX
HG00544	chs	eas	XX
HG00551	pur	amr	XX
HG00552	pur	amr	XY
HG00553	pur	amr	XY
HG00554	pur	amr	XX
HG00555	pur	amr	XX
HG00556	chs	eas	XY
HG00557	chs	eas	XX
HG00558	chs	eas	XX
HG00559	chs	eas	XY
HG00560	chs	eas	XX
HG00561	chs	eas	XX
HG00565	chs	eas	XY
HG00566	chs	eas	XX
HG00567	chs	eas	XY
HG00577	chs	eas	XY
HG00578	chs	eas	XX
HG00579	chs	eas	XX
HG00580	chs	eas	XY
HG00581	chs	eas	XX
HG00582	chs	eas	XX
HG00583	chs	eas	XY
HG00584	chs	eas	XX
HG00585	chs	eas	XX
HG00589	chs	eas	XY
HG00590	chs	eas	XX
HG00591	chs	eas	XY
HG00592	chs	eas	XY
HG00593	chs	eas	XX
HG00594	chs	eas	XY
HG00595	chs	eas	XY
HG00596	chs	eas	XX
HG00597	chs	eas	XX
HG00598	chs	eas	XY
HG00599	chs	eas	XX
HG00607	chs	eas	XY
HG00608	chs	eas	XX
HG00609	chs	eas	XY
HG00610	chs	eas	XY
HG00611	chs	eas	XX
HG00612	chs	eas	XX
HG00613	chs	eas	XY
HG00614	chs	eas	XX
HG00615	chs	eas	XX
HG00619	chs	eas	XY
HG00620	chs	eas	XX
HG00621	chs	eas	XY
HG00622	chs	eas	XY
HG00623	chs	eas	XX
HG00625	chs	eas	XY
HG00626	chs	eas	XX
HG00627	chs	eas	XY
HG00628	chs	eas	XY
HG00629	chs	eas	XX
HG00630	chs	eas	XY
HG00631	chs	eas	XY
HG00632	chs	eas	XX
HG00634	chs	eas	XY
HG00635	chs	eas	XX
HG00636	chs	eas	XY
HG00637	pur	amr	XY
HG00638	pur	amr	XX
HG00639	pur	amr	XX
HG00640	pur	amr	XY
HG00641	pur	amr	XX
HG00642	pur	amr	XY
HG00650	chs	eas	XY
HG00651	chs	eas	XX
HG00652	chs	eas	XX
HG00653	chs	eas	XY
HG00654	chs	eas	XX
HG00655	chs	eas	XX
HG00656	chs	eas	XY
HG00657	chs	eas	XX
HG00658	chs	eas	XY
HG00662	chs	eas	XY
HG00663	chs	eas	XX
HG00664	chs	eas	XY
HG00671	chs	eas	XY
HG00672	chs	eas	XX
HG00673	chs	eas	XY
HG00674	chs	eas	XY
HG00675	chs	eas	XX
HG00683	chs	eas	XY
HG00684	chs	eas	XX
HG00685	chs	eas	XY
HG00689	chs	eas	XY
HG00690	chs	eas	XX
HG00691	chs	eas	XY
HG00692	chs	eas	XY
HG00693	chs	eas	XX
HG00694	chs	eas	XY
HG00698	chs	eas	XY
HG00699	chs	eas	XX
HG00700	chs	eas	XX
HG00701	chs	eas	XY
HG00702	chs	eas	XX
HG00703	chs	eas	XY
HG00704	chs	eas	XY
HG00705	chs	eas	XX
HG00706	chs	eas	XY
HG00707	chs	eas	XY
HG00708	chs	eas	XX
HG00709	chs	eas	XY
HG00717	chs	eas	XX
HG00728	chs	eas	XY
HG00729	chs	eas	XX
HG00734	pur	amr	XX
HG00735	pur	amr	XX
HG00739	pur	amr	XY
HG00740	pur	amr	XX
HG00741	pur	amr	XX
HG00742	pur	amr	XY
HG00743	pur	amr	XX
HG00759	cdx	eas	XX
HG00766	cdx	eas	XX
HG00844	cdx	eas	XY
HG00851	cdx	eas	XX
HG00864	cdx	eas	XX
HG00867	cdx	eas	XX
HG00879	cdx	eas	XX
HG00881	cdx	eas	XY
HG00956	cdx	eas	XX
HG00978	cdx	eas	XX
HG00982	cdx	eas	XY
HG01028	cdx	eas	XY
HG01029	cdx	eas	XX
HG01031	cdx	eas	XY
HG01046	cdx	eas	XX
HG01047	pur	amr	XY
HG01048	pur	amr	XY
HG01049	pur	amr	XX
HG01050	pur	amr	XX
HG01051	pur	amr	XY
HG01052	pur	amr	XX
HG01054	pur	amr	XY
HG01055	pur	amr	XX
HG01056	pur	amr	XY
HG01058	pur	amr	XX
HG01060	pur	amr	XY
HG01061	pur	amr	XX
HG01062	pur	amr	XX
HG01063	pur	oth	XY
HG01064	pur	amr	XX
HG01066	pur	amr	XY
HG01067	pur	amr	XX
HG01068	pur	amr	XX
HG01069	pur	amr	XY
HG01070	pur	amr	XX
HG01071	pur	amr	XX
HG01072	pur	amr	XY
HG01073	pur	amr	XX
HG01074	pur	amr	XY
HG01075	pur	amr	XY
HG01077	pur	amr	XX
HG01079	pur	amr	XY
HG01080	pur	amr	XX
HG01081	pur	amr	XX
HG01082	pur	amr	XY
HG01083	pur	amr	XX
HG01084	pur	amr	XX
HG01085	pur	amr	XY
HG01087	pur	amr	XX
HG01088	pur	amr	XY
HG01089	pur	amr	XX
HG01092	pur	amr	XX
HG01094	pur	amr	XY
HG01095	pur	amr	XX
HG01096	pur	amr	XY
HG01097	pur	amr	XY
HG01098	pur	amr	XX
HG01099	pur	amr	XY
HG01100	pur	amr	XX
HG01101	pur	amr	XY
HG01102	pur	amr	XX
HG01103	pur	amr	XX
HG01104	pur	amr	XY
HG01105	pur	amr	XX
HG01106	pur	amr	XY
HG01107	pur	amr	XY
